,Unnamed: 0,qkey,attribute,group,D_H,R_H
1341,351,GOVPRIOgF1_W41,EDUCATION,Less than high school,"[0.52475857, 0.31759173, 0.08617107, 0.07147863]",0.0
1342,352,GOVPRIOgF1_W41,EDUCATION,Postgraduate,"[0.20596864, 0.25537943, 0.41937522, 0.11927671]",0.0
1343,353,GOVPRIOgF1_W41,EDUCATION,"Some college, no degree","[0.3570323, 0.26646592, 0.24669297, 0.12980881]",0.0
1356,366,GOVPRIOkF2_W41,EDUCATION,Associate's degree,"[0.22144589, 0.44130412, 0.1661808, 0.17106919]",0.0
1357,367,GOVPRIOkF2_W41,EDUCATION,College graduate/some postgrad,"[0.18659832, 0.38593401, 0.25494338, 0.17252429]",0.0080372484705692
1358,368,GOVPRIOkF2_W41,EDUCATION,High school graduate,"[0.29417849, 0.3815972, 0.18266248, 0.14156183]",0.018099638802963
1359,369,GOVPRIOkF2_W41,EDUCATION,Less than high school,"[0.2434912, 0.52681095, 0.10103513, 0.12866272]",0.0058723972415386
1360,370,GOVPRIOkF2_W41,EDUCATION,Postgraduate,"[0.16407343, 0.30662268, 0.27753846, 0.25176543]",0.0
1361,371,GOVPRIOkF2_W41,EDUCATION,"Some college, no degree","[0.2216203, 0.38845509, 0.22071771, 0.16920689]",0.0038403458782165
1362,372,GOVPRIOiF1_W41,EDUCATION,Associate's degree,"[0.42719199, 0.44777096, 0.12503705, 0.0]",0.0
1363,373,GOVPRIOiF1_W41,EDUCATION,College graduate/some postgrad,"[0.38208493, 0.4941912, 0.11924721, 0.00447665]",0.0
1364,374,GOVPRIOiF1_W41,EDUCATION,High school graduate,"[0.33343013, 0.54199645, 0.11448901, 0.01008441]",0.0
1365,375,GOVPRIOiF1_W41,EDUCATION,Less than high school,"[0.46721185, 0.3889407, 0.12728139, 0.01656606]",0.0
1366,376,GOVPRIOiF1_W41,EDUCATION,Postgraduate,"[0.32018433, 0.56520766, 0.11460801, 0.0]",0.0
1367,377,GOVPRIOiF1_W41,EDUCATION,"Some college, no degree","[0.30404087, 0.56200068, 0.1164779, 0.01748054]",0.0
1368,378,INTRMAR_W41,EDUCATION,Associate's degree,"[0.25708588, 0.26297679, 0.05435833, 0.01619287, 0.40938613]",0.001374272432405
1369,379,INTRMAR_W41,EDUCATION,College graduate/some postgrad,"[0.35877203, 0.1913779, 0.04028173, 0.02199028, 0.38757806]",0.0028657617622417
1370,380,INTRMAR_W41,EDUCATION,High school graduate,"[0.23512781, 0.17317504, 0.08483326, 0.05407679, 0.4527871]",0.0103294672141566
1371,381,INTRMAR_W41,EDUCATION,Less than high school,"[0.20932437, 0.20508433, 0.12420672, 0.07141709, 0.38996749]",0.0231393387356115
1372,382,INTRMAR_W41,EDUCATION,Postgraduate,"[0.46001428, 0.18868486, 0.04421379, 0.01233743, 0.29474965]",0.0022751252042715
1373,383,INTRMAR_W41,EDUCATION,"Some college, no degree","[0.31062663, 0.17580784, 0.07221598, 0.02275985, 0.41858971]",0.0057558505235905
1386,396,HAPPEN2b_W41,EDUCATION,Associate's degree,"[0.25695008, 0.38659718, 0.3353694, 0.02108333]",0.0
1387,397,HAPPEN2b_W41,EDUCATION,College graduate/some postgrad,"[0.20666155, 0.4445481, 0.31887449, 0.02991586]",0.002164178522371
1388,398,HAPPEN2b_W41,EDUCATION,High school graduate,"[0.20255684, 0.4734976, 0.26965049, 0.05429507]",0.0065602827522014
1389,399,HAPPEN2b_W41,EDUCATION,Less than high school,"[0.19078071, 0.54833949, 0.24269137, 0.01818843]",0.0
1390,400,HAPPEN2b_W41,EDUCATION,Postgraduate,"[0.20200649, 0.41476582, 0.35483461, 0.02839308]",0.01455667662895
1391,401,HAPPEN2b_W41,EDUCATION,"Some college, no degree","[0.21053305, 0.49004425, 0.25037968, 0.04904302]",0.0033182812073731
1404,414,FUTR_DIV_W41,EDUCATION,Associate's degree,"[0.20154881, 0.11919886, 0.67925233]",0.001452198777965
1405,415,FUTR_DIV_W41,EDUCATION,College graduate/some postgrad,"[0.26157918, 0.08889315, 0.64952766]",0.0111182660411154
1406,416,FUTR_DIV_W41,EDUCATION,High school graduate,"[0.35185635, 0.1079147, 0.54022895]",0.0148854330043317
1407,417,FUTR_DIV_W41,EDUCATION,Less than high school,"[0.29017462, 0.21266334, 0.49716204]",0.0374191165919558
1408,418,FUTR_DIV_W41,EDUCATION,Postgraduate,"[0.24916325, 0.10252869, 0.64830806]",0.0112027605081212
1409,419,FUTR_DIV_W41,EDUCATION,"Some college, no degree","[0.3056191, 0.1176196, 0.5767613]",0.0043242765870657
1422,432,HARASS1F1d_W41,EDUCATION,Associate's degree,"[0.57150376, 0.35859508, 0.06990116]",0.0
1423,433,HARASS1F1d_W41,EDUCATION,College graduate/some postgrad,"[0.61546067, 0.32371008, 0.06082924]",0.0037644552755296
1424,434,HARASS1F1d_W41,EDUCATION,High school graduate,"[0.59547519, 0.31683531, 0.08768951]",0.0081087009779827
1425,435,HARASS1F1d_W41,EDUCATION,Less than high school,"[0.61300464, 0.33391455, 0.05308081]",0.0
1426,436,HARASS1F1d_W41,EDUCATION,Postgraduate,"[0.60737394, 0.28542454, 0.10720152]",0.0184249455637951
1427,437,HARASS1F1d_W41,EDUCATION,"Some college, no degree","[0.60277758, 0.31831864, 0.07890378]",0.0
1434,444,GOVPRIOc_W41,EDUCATION,Associate's degree,"[0.69902177, 0.14718539, 0.08637361, 0.06741923]",0.0
1435,445,GOVPRIOc_W41,EDUCATION,College graduate/some postgrad,"[0.66519715, 0.20349154, 0.08371187, 0.04759944]",0.0
1436,446,GOVPRIOc_W41,EDUCATION,High school graduate,"[0.68819594, 0.21210043, 0.04928507, 0.05041857]",0.0033244480861116
1437,447,GOVPRIOc_W41,EDUCATION,Less than high school,"[0.77063632, 0.14428318, 0.06759322, 0.01748727]",0.0031428017551042
1438,448,GOVPRIOc_W41,EDUCATION,Postgraduate,"[0.63810616, 0.239369, 0.07986168, 0.04266316]",0.0023016379662948
1439,449,GOVPRIOc_W41,EDUCATION,"Some college, no degree","[0.66341421, 0.21480165, 0.06892782, 0.05285633]",0.0
1470,480,FTRWORRYc_W41,EDUCATION,Associate's degree,"[0.55807338, 0.33054867, 0.07424067, 0.03713729]",0.0
1471,481,FTRWORRYc_W41,EDUCATION,College graduate/some postgrad,"[0.4941158, 0.38543509, 0.114692, 0.00575712]",0.0091238296598705
1472,482,FTRWORRYc_W41,EDUCATION,High school graduate,"[0.47497151, 0.36999015, 0.12622863, 0.02880971]",0.0132038986758914
1473,483,FTRWORRYc_W41,EDUCATION,Less than high school,"[0.49340667, 0.32343326, 0.1372701, 0.04588997]",0.0
1474,484,FTRWORRYc_W41,EDUCATION,Postgraduate,"[0.48189163, 0.42636185, 0.08073308, 0.01101343]",0.0012354918371005
1475,485,FTRWORRYc_W41,EDUCATION,"Some college, no degree","[0.49848885, 0.38623198, 0.0955435, 0.01973567]",0.0041991445333725
1476,486,SOLVPROBh_W41,EDUCATION,Associate's degree,"[0.23155319, 0.53289411, 0.18593061, 0.04962209]",0.009299996848097
1477,487,SOLVPROBh_W41,EDUCATION,College graduate/some postgrad,"[0.25887189, 0.52425634, 0.14539532, 0.07147644]",0.0014496108658074
1478,488,SOLVPROBh_W41,EDUCATION,High school graduate,"[0.17854107, 0.51685564, 0.19332098, 0.11128231]",0.0268728302131518
1479,489,SOLVPROBh_W41,EDUCATION,Less than high school,"[0.28566565, 0.50071897, 0.14229334, 0.07132205]",0.0097131098717201
1480,490,SOLVPROBh_W41,EDUCATION,Postgraduate,"[0.28899383, 0.5376541, 0.11701383, 0.05633824]",0.010520008336751
1481,491,SOLVPROBh_W41,EDUCATION,"Some college, no degree","[0.25094334, 0.47717119, 0.16539284, 0.10649263]",0.0079184059120717
1482,492,ELDFINANCEF2_W41,EDUCATION,Associate's degree,"[0.13117856, 0.47739988, 0.39142156]",0.0411655708033368
1483,493,ELDFINANCEF2_W41,EDUCATION,College graduate/some postgrad,"[0.16161398, 0.48406391, 0.35432211]",0.0309231060998598
1484,494,ELDFINANCEF2_W41,EDUCATION,High school graduate,"[0.12396826, 0.59000164, 0.2860301]",0.0300282748088944
1485,495,ELDFINANCEF2_W41,EDUCATION,Less than high school,"[0.15104667, 0.67773868, 0.17121465]",0.0277111382796235
1486,496,ELDFINANCEF2_W41,EDUCATION,Postgraduate,"[0.17271835, 0.56621703, 0.26106462]",0.00865095332475
1487,497,ELDFINANCEF2_W41,EDUCATION,"Some college, no degree","[0.15743956, 0.57172122, 0.27083921]",0.0133288716682704
1500,510,GOVPRIOoF2_W41,EDUCATION,Associate's degree,"[0.44999504, 0.24694705, 0.16221313, 0.14084477]",0.0
1501,511,GOVPRIOoF2_W41,EDUCATION,College graduate/some postgrad,"[0.5009442, 0.27338386, 0.1730762, 0.05259574]",0.0
1502,512,GOVPRIOoF2_W41,EDUCATION,High school graduate,"[0.38055843, 0.34247748, 0.21407941, 0.06288468]",0.0077833119890089
1503,513,GOVPRIOoF2_W41,EDUCATION,Less than high school,"[0.57727868, 0.29837555, 0.067178, 0.05716776]",0.0058723972415386
1504,514,GOVPRIOoF2_W41,EDUCATION,Postgraduate,"[0.59482106, 0.23062864, 0.0939968, 0.0805535]",0.0
1505,515,GOVPRIOoF2_W41,EDUCATION,"Some college, no degree","[0.51241363, 0.23277891, 0.18127552, 0.07353193]",0.0038403458782165
1538,8,HARASS1F1b_W41,CITIZEN,No,"[0.67853388, 0.22621695, 0.09524917]",0.0
1539,9,HARASS1F1b_W41,CITIZEN,Yes,"[0.49588352, 0.36034106, 0.14377543]",0.0051008164964179
1540,10,HARASS3NOWRKF2_W41,CITIZEN,No,"[0.21678908, 0.4054614, 0.37774952]",0.0425097847292981
1541,11,HARASS3NOWRKF2_W41,CITIZEN,Yes,"[0.12078296, 0.55839236, 0.32082468]",0.0050557764286067
1544,14,SOLVPROBdF1_W41,CITIZEN,No,"[0.27102911, 0.25703825, 0.34057161, 0.13136103]",0.01206558346451
1545,15,SOLVPROBdF1_W41,CITIZEN,Yes,"[0.05786727, 0.37826166, 0.3628683, 0.20100277]",0.0089896867224021
1546,16,GOVPRIOnF2_W41,CITIZEN,No,"[0.2382243, 0.3745829, 0.1351652, 0.2520276]",0.0
1547,17,GOVPRIOnF2_W41,CITIZEN,Yes,"[0.13965582, 0.28783326, 0.18213538, 0.39037554]",0.0084040554604819
1548,18,HAPPEN2f_W41,CITIZEN,No,"[0.19556816, 0.43582374, 0.31409083, 0.05451727]",0.0
1549,19,HAPPEN2f_W41,CITIZEN,Yes,"[0.12318368, 0.53670628, 0.28060521, 0.05950483]",0.0099999162453186
1550,20,AUTOWKPLC_W41,CITIZEN,No,"[0.37841577, 0.37866392, 0.2429203]",0.0
1551,21,AUTOWKPLC_W41,CITIZEN,Yes,"[0.21566077, 0.49437198, 0.28996725]",0.0098338833122818
1552,22,SOLVPROBf_W41,CITIZEN,No,"[0.34736951, 0.27372729, 0.26829586, 0.11060734]",0.020474387297446
1553,23,SOLVPROBf_W41,CITIZEN,Yes,"[0.09496991, 0.32137245, 0.31408675, 0.26957089]",0.0136348036782198
1554,24,FUTRCLASSc_W41,CITIZEN,No,"[0.6191938, 0.23869805, 0.14210815]",0.0
1555,25,FUTRCLASSc_W41,CITIZEN,Yes,"[0.62777741, 0.1768712, 0.19535138]",0.0040130219195052
1558,28,WRKTRN1F2_W41,CITIZEN,No,"[0.20066352, 0.02176814, 0.54487837, 0.23268997]",0.0
1559,29,WRKTRN1F2_W41,CITIZEN,Yes,"[0.09110556, 0.04697787, 0.53491631, 0.32700026]",0.0066331069073452
1562,32,GOVPRIOhF1_W41,CITIZEN,No,"[0.38519961, 0.2236286, 0.18352192, 0.20764987]",0.01206558346451
1563,33,GOVPRIOhF1_W41,CITIZEN,Yes,"[0.19180061, 0.231365, 0.17212835, 0.40470604]",0.0021412339081962
1570,40,SOLVPROBa_W41,CITIZEN,No,"[0.60410622, 0.27599719, 0.07066083, 0.04923576]",0.020474387297446
1571,41,SOLVPROBa_W41,CITIZEN,Yes,"[0.42376197, 0.45923811, 0.08349333, 0.03350659]",0.0169270757512698
1584,54,AUTOLKLY_W41,CITIZEN,No,"[0.28046386, 0.24865183, 0.29457624, 0.17630807]",0.0
1585,55,AUTOLKLY_W41,CITIZEN,Yes,"[0.10443947, 0.25508074, 0.38980914, 0.25067065]",0.0049347851847469
1590,60,GOVPRIOe_W41,CITIZEN,No,"[0.68771568, 0.18926839, 0.08417362, 0.03884232]",0.0062543230595195
1591,61,GOVPRIOe_W41,CITIZEN,Yes,"[0.42224992, 0.37650579, 0.14548845, 0.05575584]",0.0033808448574414
1592,62,FTRWORRYf_W41,CITIZEN,No,"[0.5982692, 0.23823201, 0.12960028, 0.03389851]",0.0
1593,63,FTRWORRYf_W41,CITIZEN,Yes,"[0.4037169, 0.28203715, 0.21096296, 0.10328299]",0.0029430366274416
1600,70,SOLVPROBg_W41,CITIZEN,No,"[0.25582676, 0.48713393, 0.16018186, 0.09685745]",0.0485121538511675
1601,71,SOLVPROBg_W41,CITIZEN,Yes,"[0.21451241, 0.51439596, 0.19073279, 0.08035884]",0.0158227534753048
1602,72,FTRWORRYe_W41,CITIZEN,No,"[0.37929899, 0.3364032, 0.22818896, 0.05610885]",0.0
1603,73,FTRWORRYe_W41,CITIZEN,Yes,"[0.42845214, 0.33911452, 0.18584136, 0.04659198]",0.0007237633511078
1610,80,GOVPRIOfF1_W41,CITIZEN,No,"[0.23435939, 0.39161788, 0.31781662, 0.0562061]",0.0
1611,81,GOVPRIOfF1_W41,CITIZEN,Yes,"[0.2344481, 0.31576686, 0.22626388, 0.22352116]",0.0045853932844348
1612,82,ETHNCMAJMOD_W41,CITIZEN,No,"[0.19137217, 0.39230492, 0.05523479, 0.04191762, 0.3191705]",0.0
1613,83,ETHNCMAJMOD_W41,CITIZEN,Yes,"[0.16709276, 0.17046773, 0.15819226, 0.07956935, 0.4246779]",0.0064566027639553
1614,84,FUTRCLASSb_W41,CITIZEN,No,"[0.36598423, 0.41445172, 0.21956405]",0.0
1615,85,FUTRCLASSb_W41,CITIZEN,Yes,"[0.27136953, 0.46488258, 0.2637479]",0.0046675875893771
1616,86,SOLVPROBb_W41,CITIZEN,No,"[0.22824766, 0.32952959, 0.31846794, 0.12375481]",0.0267287103569656
1617,87,SOLVPROBb_W41,CITIZEN,Yes,"[0.08350448, 0.42763406, 0.32686283, 0.16199863]",0.0146371990445444
1618,88,SOLVPROBc_W41,CITIZEN,No,"[0.22150791, 0.4429974, 0.21707893, 0.11841576]",0.0267287103569656
1619,89,SOLVPROBc_W41,CITIZEN,Yes,"[0.1457015, 0.44644092, 0.26421465, 0.14364293]",0.0178501938505812
1624,94,ELDFINANCEF1_W41,CITIZEN,No,"[0.39288979, 0.42213572, 0.18497449]",0.0
1625,95,ELDFINANCEF1_W41,CITIZEN,Yes,"[0.35481121, 0.26980726, 0.37538152]",0.0074461710228579
1626,96,LEGALIMG_W41,CITIZEN,No,"[0.4134175, 0.35855145, 0.22803105]",0.0
1627,97,LEGALIMG_W41,CITIZEN,Yes,"[0.26618873, 0.51101315, 0.22279812]",0.0103720001693648
1628,98,GOVPRIOb_W41,CITIZEN,No,"[0.75387895, 0.12939469, 0.03427424, 0.08245212]",0.0
1629,99,GOVPRIOb_W41,CITIZEN,Yes,"[0.52748025, 0.34189377, 0.0841302, 0.04649578]",0.0030616883859366
1630,100,GOVPRIOmF2_W41,CITIZEN,No,"[0.6242854, 0.2313946, 0.10181022, 0.04250978]",0.0
1631,101,GOVPRIOmF2_W41,CITIZEN,Yes,"[0.47027573, 0.39339892, 0.09223144, 0.04409391]",0.0089222256644179
1632,102,GOVPRIOjF1_W41,CITIZEN,No,"[0.39745763, 0.36871723, 0.07010081, 0.16372433]",0.0
1633,103,GOVPRIOjF1_W41,CITIZEN,Yes,"[0.39102686, 0.362939, 0.17436633, 0.07166782]",0.0
1634,104,GOVPRIOlF2_W41,CITIZEN,No,"[0.48613819, 0.33341551, 0.12781574, 0.05263057]",0.0
1635,105,GOVPRIOlF2_W41,CITIZEN,Yes,"[0.15526506, 0.40136883, 0.32666101, 0.1167051]",0.004730168925962
1636,106,HARASS1NOWRKF2d_W41,CITIZEN,No,"[0.9579407, 0.0420593, 0.0]",0.0
1637,107,HARASS1NOWRKF2d_W41,CITIZEN,Yes,"[0.58265129, 0.33091181, 0.08643691]",0.0077336013302099
1644,114,WRKTRN1F1_W41,CITIZEN,No,"[0.23799607, 0.13994747, 0.52093957, 0.10111689]",0.0
1645,115,WRKTRN1F1_W41,CITIZEN,Yes,"[0.09921936, 0.10923288, 0.38486037, 0.40668739]",0.0011877202341438
1646,116,GOVPRIOgF1_W41,CITIZEN,No,"[0.24816241, 0.17540665, 0.32955195, 0.24687899]",0.0
1647,117,GOVPRIOgF1_W41,CITIZEN,Yes,"[0.38620647, 0.29754151, 0.22914006, 0.08711196]",0.002468421578966
1652,122,GOVPRIOkF2_W41,CITIZEN,No,"[0.190755, 0.46771488, 0.15197284, 0.18955729]",0.0
1653,123,GOVPRIOkF2_W41,CITIZEN,Yes,"[0.23246572, 0.39372315, 0.20689264, 0.1669185]",0.0083487877385569
1654,124,GOVPRIOiF1_W41,CITIZEN,No,"[0.32162859, 0.56440786, 0.10610076, 0.00786279]",0.0
1655,125,GOVPRIOiF1_W41,CITIZEN,Yes,"[0.3573166, 0.51496149, 0.11850978, 0.00921212]",0.0
1656,126,INTRMAR_W41,CITIZEN,No,"[0.33710193, 0.20335381, 0.05421222, 0.0, 0.40533204]",0.020474387297446
1657,127,INTRMAR_W41,CITIZEN,Yes,"[0.29893904, 0.18902213, 0.07292118, 0.03630224, 0.40281541]",0.0067277343539392
1662,132,HAPPEN2b_W41,CITIZEN,No,"[0.2185927, 0.50735761, 0.22479884, 0.04925085]",0.0172007185708564
1663,133,HAPPEN2b_W41,CITIZEN,Yes,"[0.20963558, 0.46078381, 0.29123328, 0.03834732]",0.0040985925286428
1668,138,FUTR_DIV_W41,CITIZEN,No,"[0.38270113, 0.23021331, 0.38708557]",0.0673141856124801
1669,139,FUTR_DIV_W41,CITIZEN,Yes,"[0.28721264, 0.11086711, 0.60192024]",0.0092929470752523
1674,144,HARASS1F1d_W41,CITIZEN,No,"[0.75100787, 0.16258517, 0.08640696]",0.0
1675,145,HARASS1F1d_W41,CITIZEN,Yes,"[0.59159193, 0.33045067, 0.07795739]",0.0057291549156652
1678,148,GOVPRIOc_W41,CITIZEN,No,"[0.7770056, 0.14518395, 0.07781045, 0.0]",0.0
1679,149,GOVPRIOc_W41,CITIZEN,Yes,"[0.67689385, 0.20461804, 0.068132, 0.05035612]",0.0016563224048341
1690,160,FTRWORRYc_W41,CITIZEN,No,"[0.47084951, 0.37760953, 0.13028646, 0.0212545]",0.0520379194188896
1691,161,FTRWORRYc_W41,CITIZEN,Yes,"[0.49665934, 0.37368586, 0.10647239, 0.02318241]",0.003691671425687
1692,162,SOLVPROBh_W41,CITIZEN,No,"[0.5450546, 0.3733857, 0.0454795, 0.0360802]",0.0267287103569656
1693,163,SOLVPROBh_W41,CITIZEN,Yes,"[0.22222941, 0.51921389, 0.16949687, 0.08905983]",0.0119937060621955
1694,164,ELDFINANCEF2_W41,CITIZEN,No,"[0.17944268, 0.66727666, 0.15328066]",0.0
1695,165,ELDFINANCEF2_W41,CITIZEN,Yes,"[0.14475704, 0.56040741, 0.29483555]",0.0259495422843056
1700,170,GOVPRIOoF2_W41,CITIZEN,No,"[0.77987084, 0.22012916, 0.0, 0.0]",0.0
1701,171,GOVPRIOoF2_W41,CITIZEN,Yes,"[0.46713453, 0.28403531, 0.17249969, 0.07633047]",0.0038478171935675
1730,20,HARASS1F1b_W41,MARITAL,Divorced,"[0.38333867, 0.46368212, 0.15297921]",0.0023699153229859
1731,21,HARASS1F1b_W41,MARITAL,Married,"[0.51889603, 0.34068424, 0.14041972]",0.0087879535073608
1732,22,HARASS1F1b_W41,MARITAL,Never been married,"[0.51374597, 0.33955955, 0.14669448]",0.0016975905711559
1733,23,HARASS1F1b_W41,MARITAL,Separated,"[0.58092153, 0.37471595, 0.04436252]",0.0
1734,24,HARASS1F1b_W41,MARITAL,Widowed,"[0.74175846, 0.22173018, 0.03651137]",0.0
1735,25,HARASS3NOWRKF2_W41,MARITAL,Divorced,"[0.09220177, 0.59876435, 0.30903388]",0.0032238114963165
1736,26,HARASS3NOWRKF2_W41,MARITAL,Married,"[0.13906126, 0.58458492, 0.27635382]",0.0078993427887916
1737,27,HARASS3NOWRKF2_W41,MARITAL,Never been married,"[0.11767374, 0.50563312, 0.37669314]",0.0072991146099529
1738,28,HARASS3NOWRKF2_W41,MARITAL,Separated,"[0.13527548, 0.36554624, 0.49917828]",0.0
1739,29,HARASS3NOWRKF2_W41,MARITAL,Widowed,"[0.12239882, 0.64574087, 0.23186031]",0.0
1745,35,SOLVPROBdF1_W41,MARITAL,Divorced,"[0.05034217, 0.29508474, 0.41070332, 0.24386978]",0.0128105042945298
1746,36,SOLVPROBdF1_W41,MARITAL,Married,"[0.07034322, 0.35689226, 0.38033023, 0.1924343]",0.0144603635981856
1747,37,SOLVPROBdF1_W41,MARITAL,Never been married,"[0.08490938, 0.3644496, 0.34630238, 0.20433863]",0.0010952211330535
1748,38,SOLVPROBdF1_W41,MARITAL,Separated,"[0.01009894, 0.38671354, 0.33396054, 0.26922698]",0.0
1749,39,SOLVPROBdF1_W41,MARITAL,Widowed,"[0.07147272, 0.59539872, 0.20691721, 0.12621135]",0.0114543156805404
1750,40,GOVPRIOnF2_W41,MARITAL,Divorced,"[0.11426269, 0.23626191, 0.21339193, 0.43608347]",0.0063285081599143
1751,41,GOVPRIOnF2_W41,MARITAL,Married,"[0.13845831, 0.27383291, 0.17186616, 0.41584262]",0.0045291766027311
1752,42,GOVPRIOnF2_W41,MARITAL,Never been married,"[0.14824927, 0.31870493, 0.21530685, 0.31773895]",0.0170879729121416
1753,43,GOVPRIOnF2_W41,MARITAL,Separated,"[0.28004465, 0.40983067, 0.07528896, 0.23483573]",0.0
1754,44,GOVPRIOnF2_W41,MARITAL,Widowed,"[0.147001, 0.388356, 0.10268319, 0.36195981]",0.0
1755,45,HAPPEN2f_W41,MARITAL,Divorced,"[0.11364013, 0.55312677, 0.28059722, 0.05263589]",0.0110801229873207
1756,46,HAPPEN2f_W41,MARITAL,Married,"[0.1334374, 0.5468826, 0.2723303, 0.0473497]",0.0108376525281147
1757,47,HAPPEN2f_W41,MARITAL,Never been married,"[0.12777067, 0.49352436, 0.31328149, 0.06542347]",0.0096753742241453
1758,48,HAPPEN2f_W41,MARITAL,Separated,"[0.14049787, 0.35873906, 0.43546901, 0.06529406]",0.0
1759,49,HAPPEN2f_W41,MARITAL,Widowed,"[0.10459742, 0.55265889, 0.26718013, 0.07556356]",0.0
1760,50,AUTOWKPLC_W41,MARITAL,Divorced,"[0.15934635, 0.61412378, 0.22652987]",0.0058880969394732
1761,51,AUTOWKPLC_W41,MARITAL,Married,"[0.22856976, 0.46934434, 0.3020859]",0.0085056500863313
1762,52,AUTOWKPLC_W41,MARITAL,Never been married,"[0.26448849, 0.43401682, 0.30149468]",0.0131521736931398
1763,53,AUTOWKPLC_W41,MARITAL,Separated,"[0.16855184, 0.68018376, 0.15126441]",0.0
1764,54,AUTOWKPLC_W41,MARITAL,Widowed,"[0.21132526, 0.58874321, 0.19993154]",0.0084737583818482
1765,55,SOLVPROBf_W41,MARITAL,Divorced,"[0.10760205, 0.32302654, 0.35169016, 0.21768125]",0.0149540678620102
1766,56,SOLVPROBf_W41,MARITAL,Married,"[0.10900771, 0.2979018, 0.29852058, 0.29456991]",0.0105434006381647
1767,57,SOLVPROBf_W41,MARITAL,Never been married,"[0.10893542, 0.3114624, 0.33850169, 0.24110049]",0.0115513620381526
1768,58,SOLVPROBf_W41,MARITAL,Separated,"[0.16585108, 0.37869967, 0.33639284, 0.1190564]",0.0
1769,59,SOLVPROBf_W41,MARITAL,Widowed,"[0.11081645, 0.45083921, 0.25178258, 0.18656176]",0.0283818772748289
1770,60,FUTRCLASSc_W41,MARITAL,Divorced,"[0.65675212, 0.14599273, 0.19725515]",0.0072819802728627
1771,61,FUTRCLASSc_W41,MARITAL,Married,"[0.64440492, 0.16587983, 0.18971525]",0.0016117947691474
1772,62,FUTRCLASSc_W41,MARITAL,Never been married,"[0.60604982, 0.22346789, 0.17048229]",0.0022001868514105
1773,63,FUTRCLASSc_W41,MARITAL,Separated,"[0.6794424, 0.1986144, 0.1219432]",0.0128213354707263
1774,64,FUTRCLASSc_W41,MARITAL,Widowed,"[0.54726627, 0.13498489, 0.31774884]",0.0236348054778376
1780,70,WRKTRN1F2_W41,MARITAL,Divorced,"[0.07527001, 0.01127228, 0.60231345, 0.31114426]",0.0063285081599143
1781,71,WRKTRN1F2_W41,MARITAL,Married,"[0.09527408, 0.05419152, 0.47612034, 0.37441406]",0.002644566076109
1782,72,WRKTRN1F2_W41,MARITAL,Never been married,"[0.09605495, 0.04552373, 0.64727902, 0.2111423]",0.0105634621282967
1783,73,WRKTRN1F2_W41,MARITAL,Separated,"[0.1477212, 0.0, 0.60009016, 0.25218864]",0.0
1784,74,WRKTRN1F2_W41,MARITAL,Widowed,"[0.04921956, 0.07550869, 0.5223769, 0.35289485]",0.0215155761195368
1790,80,GOVPRIOhF1_W41,MARITAL,Divorced,"[0.17209441, 0.21350527, 0.14432027, 0.47008005]",0.0051563032043357
1791,81,GOVPRIOhF1_W41,MARITAL,Married,"[0.17387839, 0.27068824, 0.18192733, 0.37350604]",0.0045580447289484
1792,82,GOVPRIOhF1_W41,MARITAL,Never been married,"[0.25813254, 0.19361374, 0.17430411, 0.37394962]",0.0
1793,83,GOVPRIOhF1_W41,MARITAL,Separated,"[0.31670551, 0.21330511, 0.20955391, 0.26043547]",0.0
1794,84,GOVPRIOhF1_W41,MARITAL,Widowed,"[0.30431835, 0.11830766, 0.14181974, 0.43555424]",0.0
1810,100,SOLVPROBa_W41,MARITAL,Divorced,"[0.3692485, 0.48355877, 0.10905813, 0.0381346]",0.0178912121829315
1811,101,SOLVPROBa_W41,MARITAL,Married,"[0.4383429, 0.46360902, 0.07412005, 0.02392803]",0.0162596270581731
1812,102,SOLVPROBa_W41,MARITAL,Never been married,"[0.46176892, 0.40135789, 0.08476739, 0.0521058]",0.0107002439745143
1813,103,SOLVPROBa_W41,MARITAL,Separated,"[0.35635377, 0.38030726, 0.14509335, 0.11824562]",0.0264383418227406
1814,104,SOLVPROBa_W41,MARITAL,Widowed,"[0.41517968, 0.45497543, 0.07376493, 0.05607996]",0.0422773864413862
1845,135,AUTOLKLY_W41,MARITAL,Divorced,"[0.12648245, 0.24878999, 0.41720764, 0.20751992]",0.0057986021856976
1846,136,AUTOLKLY_W41,MARITAL,Married,"[0.10986149, 0.24009453, 0.38233751, 0.26770646]",0.0003222362302361
1847,137,AUTOLKLY_W41,MARITAL,Never been married,"[0.11639489, 0.29344556, 0.36093817, 0.22922138]",0.0166191285463974
1848,138,AUTOLKLY_W41,MARITAL,Separated,"[0.17288496, 0.42431568, 0.30164537, 0.10115398]",0.0
1849,139,AUTOLKLY_W41,MARITAL,Widowed,"[0.11529058, 0.19762987, 0.27757219, 0.40950736]",0.0
1860,150,GOVPRIOe_W41,MARITAL,Divorced,"[0.45274315, 0.40244359, 0.1018315, 0.04298176]",0.0059670306720858
1861,151,GOVPRIOe_W41,MARITAL,Married,"[0.38528878, 0.37383262, 0.17231804, 0.06856056]",0.0024569490859214
1862,152,GOVPRIOe_W41,MARITAL,Never been married,"[0.51577472, 0.31234517, 0.12103019, 0.05084992]",0.0054418842900439
1863,153,GOVPRIOe_W41,MARITAL,Separated,"[0.4088308, 0.53891, 0.02069148, 0.03156773]",0.0
